SPKID,SubjectID
CBK90958,49098
CBK90958,49309
CBK90958,49680
CBK90959,32601
CBK90959,42095
CBK90959,49001
CBK90959,49003
CBK90959,49004
CBK90959,49006
CBK90959,49069
CBK90959,49098
CBK90959,49309
CBK90959,49680
CBK90960,32561
CBK90960,32601
CBK90960,49001
CBK90960,49003
CBK90960,49004
CBK90960,49006
CBK90960,49069
CBK90960,49098
CBK90960,49309
CBK90960,49680
CBK90961,32601
CBK90961,49001
CBK90961,49002
CBK90961,49004
CBK90961,49006
CBK90965,32601
CBK90965,49013
CBK90965,49016
CBK90965,49309
CBK90965,49680
CBK90966,42095
CBK90966,43801
CBK90966,43802
CBK90966,49003
CBK90966,49016
CBK90966,49069
CBK90966,49098
CBK90966,49309
CBK90966,49680
CBK90970,42907
CBK90970,49102
CBK90970,49106
CBK90970,49107
CBK90970,49116
CBK90970,49118
CBK90970,49119
CBK90970,49134
CBK90970,49151
CBK90970,49254
CBK90970,49255
CBK90970,49256
CBK90970,49257
CBK90970,49258
CBK90971,49102
CBK90971,49106
CBK90971,49116
CBK90971,49118
CBK90971,49119
CBK90971,49254
CBK90971,49257
CBK90971,49258
CBK90972,42907
CBK90972,49047
CBK90972,49115
CBK90972,49131
CBK90972,49133
CBK90972,49134
CBK90972,49136
CBK90972,49150
CBK90972,49151
CBK90972,49254
CBK90973,32555
CBK90973,32603
CBK90973,49227
CBK90973,49261
CBK90974,42011
CBK90974,42912
CBK90974,49049
CBK90974,49116
CBK90974,49123
CBK90974,49127
CBK90974,49257
CBK90976,49002
CBK90976,49049
CBK90976,49307
CBK90976,49312
CBK90976,49316
CBK90976,49322
CBK90976,49328
CBK90976,49329
CBK90978,32570
CBK90978,32571
CBK90978,42889
CBK90978,42904
CBK90978,49227
CBK90980,32118
CBK90980,32548
CBK90980,42027
CBK90980,42057
CBK90980,42058
CBK90980,42059
CBK90980,42890
CBK90981,49116
CBK90981,49117
CBK90981,49127
CBK90981,49256
CBK90982,49003
CBK90982,49016
CBK90982,49069
CBK90982,49098
CBK90982,49309
CBK90982,49680
CBK90984,49116
CBK90984,49117
CBK90984,49127
