SubjectID,ToSubjectID
010058,010062
010060,010058
010060,010062
010060,010063
010060,010064
010060,010065
010060,010066
010060,010067
010070,010024
010070,010025
010070,010026
010070,013095
010070,013096
010070,013098
010070,013107
010070,013987
010070,013988
010070,013989
010070,013990
010070,013991
012234,012235
012234,012236
012234,012237
012234,012238
012235,012236
012235,012237
012235,012238
012236,012237
012236,012238
012237,012238
013102,010024
013102,010025
013102,010026
013102,013095
013102,013096
013102,013098
013102,013107
013102,013987
013102,013988
013102,013989
013102,013990
013102,013991
013105,010024
013105,010025
013105,010026
013105,013095
013105,013096
013105,013098
013105,013107
013105,013987
013105,013988
013105,013989
013105,013990
013105,013991
013169,013170
013169,013172
013169,013174
013169,013237
013171,013170
013171,013172
013171,013174
013171,013237
013173,013170
013173,013172
013173,013174
013173,013237
013175,013176
013175,013178
013175,013180
013175,013245
013177,013176
013177,013178
013177,013180
013177,013245
013179,013176
013179,013178
013179,013180
013179,013245
013228,013098
013228,013159
013232,013233
013232,013234
013232,013241
013233,013234
013235,013169
013235,013170
013235,013171
013235,013172
013235,013173
013235,013174
013235,013236
013235,013237
013235,013241
013236,013170
013236,013172
013236,013174
013236,013237
013238,013239
013238,013240
013238,013241
013239,013240
013241,013242
013243,013175
013243,013176
013243,013177
013243,013178
013243,013179
013243,013180
013243,013241
013243,013244
013243,013245
013244,013176
013244,013178
013244,013180
013244,013245
013246,013181
013246,013182
013246,013241
013246,013247
013246,013248
013247,013181
013247,013182
013248,013181
013248,013182
013401,013242
013401,013402
013402,013410
013409,013410
013410,013402
013411,013401
013411,013412
013411,013413
013411,013414
013415,013401
013415,013416
013415,013417
013415,013418
013419,013401
013419,013420
013419,013421
013419,013422
013427,013401
013427,013428
013427,013429
013427,013430
013431,013401
013431,013432
013431,013433
013431,013434
013435,013401
013435,013436
013435,013437
013435,013438
013435,013440
013435,013441
013437,013401
013438,013401
013438,013439
013986,013988
013991,013098
014220,014126
014220,014162
014220,014226
014220,014227
014221,014126
014221,014162
014221,014226
014221,014227
014222,014126
014222,014162
014222,014226
014222,014227
014225,014126
014225,014162
014225,014226
014225,014227
014228,014229
015428,015429
015428,015430
015428,015431
018723,018724
020213,020212
020214,020215
020214,020216
020214,020217
020214,020218
020214,020219
020214,020220
020214,020221
020215,020216
020215,020217
020215,020218
020215,020219
020215,020220
020215,020221
020216,020217
020216,020218
020216,020219
020216,020220
020216,020221
020217,020218
020217,020219
020217,020220
020217,020221
020218,020219
020218,020220
020218,020221
020219,020220
020219,020221
020220,020221
028230,012234
028230,012235
028230,012236
028230,012237
028230,012238
028230,028231
028230,028232
028230,028233
028230,028234
028230,028235
028231,012234
028231,012235
028231,012236
028231,012237
028231,012238
028231,028232
028231,028233
028231,028234
028231,028235
028232,028233
028232,028234
028232,028235
028233,028234
028233,028235
028234,028215
028234,028216
028234,028235
028239,028240
028239,028241
028240,028241
028242,028243
028244,028245
028250,012237
028250,028251
028250,028252
028250,028994
028251,012237
028251,028252
028251,028994
028252,028994
028253,010024
028253,010025
028253,010026
028253,013095
028253,013096
028253,013098
028253,013107
028253,013987
028253,013988
028253,013989
028253,013990
028253,013991
028259,028260
028259,028261
028259,028262
028263,028264
028263,028265
028263,028266
028267,028268
028267,028269
028267,028270
028271,028272
028271,028273
028271,028274
028277,028278
028281,028282
090001,090003
090001,090004
090002,090003
090002,090004
090008,090040
090012,090021
090013,090022
11119,11173
11119,11197
11128,11129
11128,11190
11130,11178
11130,11198
11170,11180
11171,11175
11171,11183
11171,11205
11172,11174
11172,11182
11172,11185
11172,11196
11172,11205
11173,11130
11173,11175
11173,11183
11174,11182
11174,11185
11174,11196
11175,11181
11176,11175
11177,11183
11178,11181
11178,11188
11181,11192
11182,11179
11183,11180
11184,11179
11184,11191
11184,11192
11184,11501
11185,11179
11186,11181
11188,11184
11188,11199
11191,11194
11197,11130
11197,11183
11198,11188
11199,11191
11205,11211
11206,11207
11207,11233
11209,11221
11209,11227
11209,11275
11209,11277
11211,11205
11211,11221
11211,11227
11211,11231
11211,11235
11211,11275
11211,11277
11212,11205
11212,11211
11212,11222
11212,11248
11214,11171
11214,11190
11214,11205
11214,11206
11214,11208
11214,11211
11214,11235
11216,11222
11216,11248
11221,11200
11221,11277
11222,11247
11225,11232
11227,11200
11227,11231
11227,11277
11231,11200
11231,11278
11232,11200
11233,11200
11233,11278
11273,11275
11273,11277
11274,11275
11274,11277
11275,11276
11275,11277
11276,11277
11277,11278
11319,11555
11320,11326
11321,11331
11324,11342
11325,11343
11334,11335
11368,11378
11391,11393
11392,11393
11503,11501
11503,11502
11504,11501
11504,11502
11551,11319
11551,11503
11551,11504
11551,11552
11551,11553
11551,11554
11551,11555
11552,11319
11552,11503
11552,11504
11552,11553
11552,11554
11552,11555
11553,11554
11553,11555
12003,15317
12511,12537
12511,15349
12511,15362
12511,17123
12518,17518
12535,12515
12535,15143
12535,17518
12535,17551
12535,17556
12535,17704
12535,17772
12535,17775
12535,17776
