SPKID,SPKID2
CBK90646,SMJ08223
CBK90646,SMJ09028
CBK90646,SMJ09030
CBK90646,SMJ09033
CBK90646,SMJ09034
CBK90646,SMJ09035
CBK90646,SMJ09036
CBK90646,SMJ09058
CBK90646,SMJ10086
CBK90646,SMJ10159
CBK90653,STM90678
CBK90653,STM91004
CBK90653,STM91005
CBK90653,STM91006
CBK90653,STM91007
CBK90655,MAJ01101
CBK90656,CBK92069
CBK90679,STM90523
CBK90679,STM90524
CBK90715,CBK90714
CBK90715,STM90898
CBK90715,STM90899
CBK90715,STM90900
CBK90715,STM90901
CBK90715,STM90903
CBK90715,STM90904
CBK90715,STM90906
CBK90715,STM90908
CBK90715,STM90910
CBK90715,STM90911
CBK90715,STM91238
CBK90715,STM91304
CBK90715,STM91410
CBK90715,STM91820
CBK90717,STM90912
CBK90717,STM90913
CBK90717,STM90914
CBK90717,STM90915
CBK90718,MAJ03490
CBK90718,MAJ03491
CBK90718,MAJ03492
CBK90718,MAJ03493
CBK90718,MAJ03495
CBK90718,MAJ03496
CBK90718,MAJ03498
CBK90718,MAJ03500
CBK90718,MAJ03502
CBK90718,MAJ03503
CBK90718,MAJ03529
CBK90718,MAJ03532
CBK90718,MAJ03536
CBK90718,MAJ03552
CBK90718,STM90916
CBK90743,SMJ10196
CBK90781,MAJ02080
CBK90781,MAJ02081
CBK90781,MAJ02092
CBK90781,MAJ03444
CBK90781,MAJ03445
CBK90782,CBK90783
CBK90782,CBK90784
CBK90782,MAJ02080
CBK90782,MAJ02081
CBK90782,MAJ02092
CBK90782,MAJ03444
CBK90782,MAJ03445
CBK90782,MAJ08965
CBK90782,MAJ08966
CBK90782,SMJ01010
CBK90782,SMJ01012
CBK90782,SMJ01026
CBK90782,SMJ01032
CBK90782,SMJ02064
CBK90782,SMJ02065
CBK90782,SMJ02066
CBK90782,SMJ02067
CBK90782,SMJ03036
CBK90782,SMJ03037
CBK90782,SMJ08197
CBK90782,SMJ08198
CBK90782,SMJ09034
CBK90782,SMJ09035
CBK90782,SMJ09036
CBK90782,SMJ09040
CBK90782,SMJ10156
CBK90782,SMJ10157
CBK90782,SMJ10188
CBK90782,SMJ10189
CBK90782,SMJ10190
CBK90782,SMJ10196
CBK90783,CBK92069
CBK90783,CBK92186
CBK90783,SMJ09034
CBK90783,SMJ09035
CBK90783,SMJ09036
CBK90783,SMJ10156
CBK90783,SMJ10188
CBK90783,SMJ10189
CBK90783,SMJ10190
CBK90783,SMJ10196
CBK90793,STM90210
CBK90793,STM90212
CBK90793,STM90213
CBK90793,STM90798
CBK90793,STM90799
CBK90795,SMJ10085
CBK90798,CBK92137
CBK90798,SMJ01031
CBK90798,SMJ02054
CBK90798,SMJ10031
CBK90801,CBK90232
CBK90801,SMJ01005
CBK90801,SMJ01012
CBK90801,SMJ10031
CBK90812,MAJ08517
CBK90812,MAJ08957
CBK90812,MAJ08964
CBK90861,SMJ08216
CBK90861,SMJ08217
CBK90861,SMJ10095
CBK90861,SMJ10187
CBK90870,STM90781
CBK90877,CBK91935
CBK90877,SMJ10085
CBK90905,MAJ03025
CBK90905,MAJ03028
CBK90905,MAJ03030
CBK90905,MAJ03473
CBK90905,MAJ03505
CBK90905,MAJ03517
CBK90905,MAJ03522
CBK90905,MAJ03525
CBK90905,MAJ03541
CBK90905,MAJ03545
CBK90905,MAJ03548
CBK90908,MAJ01133
CBK90908,MAJ01135
CBK90908,MAJ01182
CBK90908,MAJ01183
CBK90908,MAJ05005
CBK90908,MAJ06258
CBK90909,STM90836
CBK90909,STM90837
CBK90911,MAJ06216
CBK90911,MAJ06234
CBK90911,STM90838
CBK90928,CBK90929
CBK90928,CBK90930
CBK90931,CBK90929
CBK90954,MAJ03001
CBK90954,MAJ03005
CBK90954,MAJ03007
CBK90954,MAJ03472
CBK90954,MAJ03504
CBK90954,MAJ03518
CBK90954,MAJ03523
CBK90954,MAJ03524
CBK90954,MAJ03540
CBK90954,MAJ03544
CBK90954,MAJ03549
CBK90967,MAJ03476
CBK90967,MAJ03477
CBK90967,MAJ03478
CBK90967,MAJ03479
CBK90967,MAJ03481
CBK90967,MAJ03482
CBK90967,MAJ03484
CBK90967,MAJ03486
CBK90967,MAJ03488
CBK90967,MAJ03489
CBK90967,MAJ03528
CBK90967,MAJ03531
CBK90967,MAJ03535
CBK90967,MAJ03553
CBK90967,STM90868
CBK90969,STM91415
CBK90969,STM91416
CBK90969,STM91417
CBK90996,STM91418
CBK90996,STM91419
CBK90996,STM91420
CBK90997,CBK90983
CBK90997,SMJ03430
CBK90997,SMJ10053
CBK90997,SMJ10054
CBK90997,SMJ10055
CBK90997,SMJ10056
CBK90997,SMJ10058
CBK90997,SMJ10059
CBK90997,SMJ10061
CBK90997,SMJ10063
CBK90997,SMJ10065
CBK90997,SMJ10066
CBK90997,SMJ10094
CBK90997,SMJ10124
CBK90997,SMJ10197
CBK90998,CBK90999
CBK90998,STM90884
CBK90998,STM90885
CBK90998,STM90886
CBK90998,STM90887
CBK90998,STM90889
CBK90998,STM90890
CBK90998,STM90892
CBK90998,STM90894
CBK90998,STM90896
CBK90998,STM90897
CBK90998,STM91239
CBK90998,STM91305
CBK90998,STM91409
CBK90998,STM91821
CBK91013,MAJ08975
CBK91013,MAJ08976
CBK91013,MAJ08980
CBK91015,MAJ03476
CBK91015,MAJ03477
CBK91015,MAJ03478
CBK91015,MAJ03479
CBK91015,MAJ03481
CBK91015,MAJ03482
CBK91015,MAJ03484
CBK91015,MAJ03486
CBK91015,MAJ03488
CBK91015,MAJ03489
CBK91015,MAJ03528
CBK91015,MAJ03531
CBK91015,MAJ03535
CBK91015,MAJ03553
CBK91015,STM90868
CBK91024,CBK91025
CBK91024,STM90963
CBK91024,STM90964
CBK91024,STM90965
CBK91024,STM90966
CBK91024,STM90967
CBK91024,STM91236
CBK91036,CBK91037
CBK91036,STM90969
CBK91036,STM90970
CBK91036,STM90971
CBK91036,STM90972
CBK91036,STM90973
CBK91036,STM91235
CBK91046,CBK91043
CBK91046,MAJ02082
CBK91046,MAJ02083
CBK91046,MAJ02084
CBK91046,MAJ02085
CBK91046,MAJ02086
CBK91046,MAJ02093
CBK91047,STM91028
CBK91047,STM91029
CBK91047,STM91030
CBK91053,CBK91054
CBK91053,SMJ10069
CBK91053,SMJ10070
CBK91053,SMJ10071
CBK91053,SMJ10072
CBK91053,SMJ10073
CBK91053,SMJ10093
CBK91060,STM90981
CBK91060,STM90982
CBK91060,STM90983
CBK91061,CBK91037
CBK91061,MAJ02087
CBK91061,MAJ02088
CBK91061,MAJ02089
CBK91061,MAJ02090
CBK91061,MAJ02091
CBK91061,MAJ02094
CBK91065,CBK90509
CBK91065,SMJ06020
CBK91065,SMJ06027
CBK91065,SMJ06032
CBK91065,SMJ06033
CBK91065,SMJ07002
CBK91065,SMJ08194
CBK91079,CBK90171
CBK91079,MAJ02041
CBK91079,MAJ08438
CBK91079,MAJ08441
CBK91079,MAJ08446
CBK91079,MAJ08979
CBK91079,MAJ09401
CBK91079,SMJ01007
CBK91079,SMJ01009
CBK91079,SMJ01025
CBK91079,SMJ02036
CBK91079,SMJ02037
CBK91079,SMJ08109
